       value	     chindex	     chlabel	        bini	  binlabel	ERPset
     -41.763	           1	        E104	         247	03_:_30507	
      -1.657	           1	        E104	         248	03_:_30508	
      11.379	           1	        E104	         249	03_:_30509	
     -39.938	           1	        E104	         250	03_:_30510	
     -36.512	           1	        E104	         251	03_:_60101	
     -18.630	           1	        E104	         252	03_:_60102	
      -5.616	           1	        E104	         253	03_:_60103	
      21.614	           1	        E104	         254	03_:_60104	
     -36.247	           1	        E104	         255	03_:_60105	
      -4.782	           1	        E104	         256	03_:_60106	
     -28.547	           1	        E104	         257	03_:_60107	
     -17.030	           1	        E104	         258	03_:_60108	
      16.492	           1	        E104	         259	03_:_60109	
      11.918	           1	        E104	         260	03_:_60110	
      24.895	           1	        E104	         261	03_:_60201	
     -26.466	           1	        E104	         262	03_:_60202	
     -32.315	           1	        E104	         263	03_:_60203	
     -47.054	           1	        E104	         264	03_:_60204	
     -12.936	           1	        E104	         265	03_:_60205	
      22.541	           1	        E104	         266	03_:_60206	
     -14.448	           1	        E104	         267	03_:_60207	
      10.146	           1	        E104	         268	03_:_60208	
     -35.913	           1	        E104	         269	03_:_60209	
     -22.992	           1	        E104	         270	03_:_60210	
      19.585	           1	        E104	         271	03_:_60301	
     -21.186	           1	        E104	         272	03_:_60302	
     -19.853	           1	        E104	         273	03_:_60303	
     -22.313	           1	        E104	         274	03_:_60304	
     -12.751	           1	        E104	         275	03_:_60305	
       9.136	           1	        E104	         276	03_:_60306	
     -23.341	           1	        E104	         277	03_:_60307	
      -3.465	           1	        E104	         278	03_:_60308	
      11.592	           1	        E104	         279	03_:_60309	
      -5.270	           1	        E104	         280	03_:_60310	
       3.248	           1	        E104	         281	03_:_60401	
       7.636	           1	        E104	         282	03_:_60402	
      -6.264	           1	        E104	         283	03_:_60403	
       9.664	           1	        E104	         284	03_:_60404	
      -9.833	           1	        E104	         285	03_:_60405	
      33.748	           1	        E104	         286	03_:_60406	
      -5.563	           1	        E104	         287	03_:_60407	
      -2.894	           1	        E104	         288	03_:_60408	
      14.293	           1	        E104	         289	03_:_60409	
      16.161	           1	        E104	         290	03_:_60410	
     -18.596	           1	        E104	         291	03_:_60501	
      20.096	           1	        E104	         292	03_:_60502	
       6.113	           1	        E104	         293	03_:_60503	
      27.643	           1	        E104	         294	03_:_60504	
      18.914	           1	        E104	         295	03_:_60505	
     -30.198	           1	        E104	         296	03_:_60506	
     -43.161	           1	        E104	         297	03_:_60507	
      20.524	           1	        E104	         298	03_:_60508	
     -10.361	           1	        E104	         299	03_:_60509	
      17.951	           1	        E104	         300	03_:_60510	
     -17.923	           1	        E104	         301	04_:_30101	
     -46.509	           1	        E104	         302	04_:_30102	
     -40.912	           1	        E104	         303	04_:_30103	
      29.053	           1	        E104	         304	04_:_30104	
      22.188	           1	        E104	         305	04_:_30105	
